City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,priargunsk,50.3691,119.1012,5.79,91,65,2.19,RU,1694454384
223,mumbwa,-14.9783,27.0619,24.87,17,0,1.91,ZM,1694454384
224,katabu,-4.9333,122.5167,23.09,89,27,1.87,ID,1694454384
225,san fernando de apure,7.8878,-67.4724,31.33,68,20,1.08,VE,1694454384
226,xiongzhou,25.1167,114.3,24.51,94,97,0.43,CN,1694454385
227,raduzhny,62.0961,77.475,13.36,50,100,1.81,RU,1694454385
228,shenkursk,62.1091,42.896,11.51,86,7,1.74,RU,1694454385
229,privolzhskiy,51.4,46.0333,15.15,55,83,4.97,RU,1694454386
230,erenhot,43.6475,111.9767,13.13,34,10,2.09,CN,1694454386
231,nar'yan-mar,67.6713,53.087,12.31,89,95,2.39,RU,1694454386
232,bubaque,11.2833,-15.8333,27.48,80,96,6.02,GW,1694454386
233,nangomba,-10.9,38.5,25.22,65,60,4.19,TZ,1694454387
234,lebu,-37.6167,-73.65,11.51,67,24,3.8,CL,1694454159
235,montepuez,-13.1256,38.9997,23.95,60,6,5.23,MZ,1694454387
236,puerto aysen,-45.4,-72.7,8.02,76,100,3.09,CL,1694454376
237,khanabad,36.6825,69.1156,24.76,32,0,1.6,AF,1694454387
238,patterson,37.4716,-121.1297,27.81,20,8,2.88,US,1694454388
239,northwood,40.4728,-83.7324,24.13,59,0,2.06,US,1694454388
240,new plymouth,-39.0667,174.0833,7.95,77,52,7.92,NZ,1694454178
241,antsohihy,-14.8796,47.9875,23.48,69,12,0.6,MG,1694454388
242,dali,25.7,100.1833,17.07,96,95,0.81,CN,1694454389
243,lorengau,-2.0226,147.2712,26.21,86,94,4.57,PG,1694454389
244,beypazari,40.1675,31.9211,19.29,42,2,2.82,TR,1694454389
245,mangai,-4.05,19.5333,27.55,59,90,1.2,CD,1694454390
246,iguape,-24.7081,-47.5553,24.34,77,13,4.49,BR,1694454390
247,ozernyy,55.5802,32.4127,14.04,81,0,1.14,RU,1694454390
248,shache,38.4167,77.2406,27.62,17,0,2.78,CN,1694454390
249,al jawf,29.5,38.75,30.14,20,0,4.94,SA,1694454390
250,yashan,22.1975,109.9419,24.21,98,99,1.32,CN,1694454391
251,novyy urengoy,66.0833,76.6333,12.4,75,59,4.95,RU,1694454391
252,vail,32.0479,-110.712,36.03,28,23,0.89,US,1694454269
253,patan,27.6667,85.3333,23.21,88,75,0.45,NP,1694454392
254,shangrao,28.4532,117.9686,24.43,86,76,1.16,CN,1694454392
255,podgorenskiy,50.405,39.6429,13.55,58,89,2.59,RU,1694454392
256,riosucio,5.4216,-75.7032,23.34,65,98,0.84,CO,1694454392
257,almaty,43.25,76.95,20.95,56,100,2.0,KZ,1694454393
258,sisimiut,66.9395,-53.6735,5.57,78,100,5.28,GL,1694454393
259,maputo,-25.9653,32.5892,22.82,64,20,8.75,MZ,1694454393
260,san luis de la loma,17.2706,-100.8939,32.52,66,77,2.39,MX,1694454393
261,borazjan,29.2666,51.2159,33.77,64,0,1.06,IR,1694454394
262,selfoss,63.9331,-20.9971,8.91,48,18,4.83,IS,1694454394
263,freeport,40.6576,-73.5832,29.1,74,75,2.57,US,1694454115
264,salalah,17.0151,54.0924,28.05,89,40,4.12,OM,1694454394
265,jiuquan,39.7432,98.5174,21.67,21,34,3.88,CN,1694454395
266,port mathurin,-19.6833,63.4167,22.66,80,24,11.23,MU,1694454395
267,acarau,-2.8856,-40.12,26.55,82,0,11.82,BR,1694454395
268,senanga,-16.1167,23.2667,26.43,13,0,3.02,ZM,1694454395
269,nouadhibou,20.931,-17.0347,26.99,65,37,8.23,MR,1694454395
270,arno,60.1167,18.6333,15.44,84,98,3.24,SE,1694454396
271,haverfordwest,51.8017,-4.9691,18.77,89,81,3.8,GB,1694454396
272,bastia,42.6667,9.3333,24.05,75,0,1.03,FR,1694454318
273,jamestown,42.097,-79.2353,23.59,60,40,2.57,US,1694454273
274,anadyr,64.75,177.4833,4.28,93,20,2.0,RU,1694454397
275,pyshma,56.9523,63.2513,14.36,68,100,5.67,RU,1694454397
276,chernyshevskiy,63.0128,112.4714,5.66,92,99,2.37,RU,1694454397
277,polokwane,-23.9045,29.4688,24.47,19,0,2.06,ZA,1694454398
278,lethem,3.3803,-59.7968,37.15,32,20,7.92,GY,1694454398
279,barcelos,41.5388,-8.6151,22.73,80,52,1.94,PT,1694454398
280,viedma,-40.8135,-62.9967,16.65,41,100,7.19,AR,1694454398
281,zhezqazghan,47.7833,67.7667,12.73,61,82,12.79,KZ,1694454399
282,palmer,42.1584,-72.3287,27.18,71,75,0.0,US,1694454399
283,pangai,-19.8,-174.35,23.06,78,40,7.2,TO,1694454399
284,mermoz boabab,14.7065,-17.4758,32.31,70,40,2.06,SN,1694454399
285,enewetak,11.3474,162.3373,28.62,76,35,3.8,MH,1694454400
286,kovdor,67.5662,30.4758,10.61,74,78,2.24,RU,1694454400
287,gornyy,55.1153,83.9059,6.66,84,7,2.4,RU,1694454400
288,saint croix,17.7397,-64.7388,33.25,77,40,7.2,VI,1694454400
289,al musayyib,32.7833,44.2825,33.32,23,0,0.73,IQ,1694454400
290,klaksvik,62.2266,-6.589,9.51,86,36,14.3,FO,1694454401
291,kuala lipis,4.1842,102.0468,23.29,99,98,0.09,MY,1694454401
292,badger,64.8,-147.5333,7.95,93,100,3.09,US,1694454401
293,candolim,15.5181,73.7626,27.0,89,40,1.54,IN,1694454401
294,broken hill,-31.95,141.4333,11.16,59,0,3.19,AU,1694454402
295,sitka,57.0531,-135.33,15.94,59,75,5.14,US,1694454402
296,choibalsan,48.0667,114.5,5.69,57,59,3.37,MN,1694454402
297,nuuk,64.1835,-51.7216,4.34,87,75,4.63,GL,1694454330
298,hanzhong,33.0728,107.0303,18.25,96,100,0.16,CN,1694454403
299,naracoorte,-36.9579,140.7383,8.61,90,39,2.93,AU,1694454403
300,lichinga,-13.3128,35.2406,22.05,64,3,2.57,MZ,1694454403
301,santo antonio,-6.3106,-35.4789,29.93,42,2,9.03,BR,1694454403
302,boulsa,12.6675,-0.5758,32.68,48,97,2.64,BF,1694454404
303,rosarito,32.3333,-117.0333,30.51,81,83,3.89,MX,1694454404
304,antsiranana,-12.2787,49.2917,23.16,74,43,8.16,MG,1694454404
305,nanping,26.645,118.1736,23.51,94,89,1.11,CN,1694454404
306,corbie,49.9067,2.5068,21.83,83,100,3.6,FR,1694454405
307,pizarro,4.9533,-77.366,26.81,78,92,3.57,CO,1694454405
308,uvira,-3.4067,29.1458,24.63,84,99,0.53,CD,1694454406
309,nagqu,31.5,92.0,-0.91,94,95,1.39,CN,1694454406
310,pathein,16.7833,94.7333,24.64,97,100,2.74,MM,1694454122
311,kabompo,-13.5927,24.2008,23.5,17,40,1.07,ZM,1694454407
312,port elizabeth,-33.918,25.5701,9.16,87,75,5.14,ZA,1694454363
313,chonchi,-42.6128,-73.8092,13.4,63,32,3.33,CL,1694454407
314,arteche,12.2645,125.4048,25.13,91,94,2.24,PH,1694454407
315,trondheim,63.4305,10.3951,17.03,95,100,0.46,NO,1694454250
316,daru,-9.0763,143.2092,24.59,73,99,8.36,PG,1694454408
317,sola,-13.8833,167.55,25.17,79,34,7.12,VU,1694454408
318,sao joao da barra,-21.6403,-41.0511,28.05,75,47,8.3,BR,1694454408
319,maun,-19.9833,23.4167,27.31,15,5,7.15,BW,1694454359
320,saint joseph,39.7686,-94.8466,19.78,85,100,2.24,US,1694454156
321,susuman,62.7833,148.1667,0.9,83,59,1.97,RU,1694454409
322,toliara,-23.35,43.6667,23.17,88,0,2.24,MG,1694454409
323,prairie view,30.0933,-95.9877,34.19,43,9,2.98,US,1694454409
324,boguchany,58.3814,97.4531,5.21,78,6,0.97,RU,1694454410
325,felipe carrillo puerto,19.5833,-88.05,33.52,51,43,2.47,MX,1694454410
326,hartford city,40.4511,-85.37,26.12,58,69,3.13,US,1694454410
327,port macquarie,-31.4333,152.9167,7.72,86,34,2.76,AU,1694454410
328,namest nad oslavou,49.2073,16.1585,24.98,55,0,2.68,CZ,1694454411
329,usogorsk,63.4106,48.6872,10.59,87,34,1.4,RU,1694454411
330,mitu,1.1983,-70.1733,33.44,46,33,1.49,CO,1694454411
331,port blair,11.6667,92.75,25.02,94,75,3.09,IN,1694454411
332,zijinglu,34.76,112.9714,23.16,82,100,2.19,CN,1694454412
333,touros,-5.1989,-35.4608,28.05,60,10,8.61,BR,1694454412
334,port lincoln,-34.7333,135.8667,14.28,52,10,3.59,AU,1694454412
335,cabo san lucas,22.8909,-109.9124,34.78,70,28,2.68,MX,1694454412
336,bestobe,52.4994,73.0975,15.12,82,100,8.2,KZ,1694454413
337,haimen,23.1935,116.6142,24.94,89,100,0.84,CN,1694454413
338,prado,-17.3411,-39.2208,25.57,64,0,3.29,BR,1694454413
339,codrington,-38.2667,141.9667,10.93,82,100,4.51,AU,1694454413
340,sernur,56.9333,49.1536,10.51,79,67,2.93,RU,1694454413
341,ta`u,-14.2336,-169.5144,26.61,80,30,6.93,AS,1694454414
342,richards bay,-28.783,32.0377,17.9,83,40,10.78,ZA,1694454414
343,catio,11.2833,-15.25,27.46,80,100,3.52,GW,1694454414
344,floro,61.5996,5.0328,14.04,94,75,5.14,NO,1694454414
345,konarka,19.9,86.1167,28.22,84,81,2.19,IN,1694454415
346,fegyvernek,47.2667,20.5333,26.01,33,8,3.06,HU,1694454415
347,vila franca do campo,37.7167,-25.4333,24.23,74,70,0.55,PT,1694454415
348,vallenar,-28.5708,-70.7581,25.88,14,100,4.76,CL,1694454132
349,swakopmund,-22.6833,14.5333,16.47,75,0,8.05,NA,1694454416
350,noventa vicentina,45.2957,11.5469,26.85,44,1,1.51,IT,1694454416
351,loushanguan,28.1375,106.82,22.27,90,100,0.92,CN,1694454416
352,djambala,-2.5447,14.7533,24.84,63,96,2.76,CG,1694454417
353,caleta de carquin,-11.0925,-77.6267,21.92,71,59,5.62,PE,1694454417
354,fonte boa,-2.4959,-66.2662,30.82,65,94,1.05,BR,1694454417
355,egilsstadir,65.2653,-14.3948,5.95,65,40,5.66,IS,1694454417
356,las palmas de gran canaria,28.0997,-15.4134,26.54,69,40,9.26,ES,1694454167
357,lilienthal,53.1657,8.9293,25.97,61,0,3.6,DE,1694454418
358,balkanabat,39.5108,54.3671,22.45,35,1,2.43,TM,1694454418
359,urangan,-25.3,152.9,18.02,69,43,7.48,AU,1694454418
360,yekaterinoslavka,50.3734,129.1139,8.09,94,100,6.57,RU,1694454418
361,lamarque,-39.423,-65.7021,16.38,21,24,15.84,AR,1694454418
362,crane,31.3974,-102.3501,33.39,32,84,7.91,US,1694454419
363,khorramabad,33.4878,48.3558,25.79,17,0,2.06,IR,1694454419
